kategorie,aktivitaet,geschlecht,durchschnittliche_zeit_h,anteil_ausuebende_prozent,zeit_ausuebende_h,differenz_anteil,differenz_zeit,differenz_rel
Sorgearbeit in Haushalt und Familie,Andere Hilfeleistungen für ein erwachsenes Haushaltsmitglied,Frauen,0,1.5,0.8333333333333334,0.6,0,50
Sorgearbeit in Haushalt und Familie,Andere Hilfeleistungen für ein erwachsenes Haushaltsmitglied,Männer,0,0.9,0.85,0.6,0,50
Sorgearbeit in Haushalt und Familie,"Wege für Einkaufen, kommerzielle und administrative Dienstleistungen",Frauen,0.11666666666666667,35.7,0.55,6.700000000000003,0.016666666666666663,20.710973724884088
Sorgearbeit in Haushalt und Familie,"Wege für Einkaufen, kommerzielle und administrative Dienstleistungen",Männer,0.1,29,0.55,6.700000000000003,0.016666666666666663,20.710973724884088
Sorgearbeit in Haushalt und Familie,Wege für Kinderbetreuung,Frauen,0.05,9.5,0.8,5.4,0.03333333333333334,79.41176470588236
Sorgearbeit in Haushalt und Familie,Wege für Kinderbetreuung,Männer,0.016666666666666666,4.1,0.6833333333333333,5.4,0.03333333333333334,79.41176470588236
Sorgearbeit in Haushalt und Familie,Wege für andere Sorgearbeiten in Haushalt und Familie,Frauen,0.016666666666666666,4.1,0.7666666666666667,-0.6000000000000005,0,-13.636363636363647
Sorgearbeit in Haushalt und Familie,Wege für andere Sorgearbeiten in Haushalt und Familie,Männer,0.016666666666666666,4.7,0.6833333333333333,-0.6000000000000005,0,-13.636363636363647
Freiwilligentätigkeiten,Formelle Freiwilligentätigkeit,Frauen,0.03333333333333333,1.9,2.95,-1.8000000000000003,-0.03333333333333333,-64.2857142857143
Freiwilligentätigkeiten,Formelle Freiwilligentätigkeit,Männer,0.06666666666666667,3.7,2.8333333333333335,-1.8000000000000003,-0.03333333333333333,-64.2857142857143
Freiwilligentätigkeiten,Informelle Hilfe bei Bau- und Reparaturarbeiten,Frauen,0,0.5,2.1666666666666665,-0.8999999999999999,-0.016666666666666666,-94.73684210526315
Freiwilligentätigkeiten,Informelle Hilfe bei Bau- und Reparaturarbeiten,Männer,0.016666666666666666,1.4,3,-0.8999999999999999,-0.016666666666666666,-94.73684210526315
Freiwilligentätigkeiten,Informelle Hilfe bei Erwerbstätigkeit und Landwirtschaft,Frauen,0,0.7,2.0833333333333335,-0.8,-0.016666666666666666,-72.72727272727273
Freiwilligentätigkeiten,Informelle Hilfe bei Erwerbstätigkeit und Landwirtschaft,Männer,0.016666666666666666,1.5,3.2,-0.8,-0.016666666666666666,-72.72727272727273
Freiwilligentätigkeiten,Kinderbetreuung als Unterstützung für anderen Haushalt,Frauen,0.08333333333333333,5.9,2.4333333333333336,3.0000000000000004,0.049999999999999996,68.18181818181819
Freiwilligentätigkeiten,Kinderbetreuung als Unterstützung für anderen Haushalt,Männer,0.03333333333333333,2.9,1.95,3.0000000000000004,0.049999999999999996,68.18181818181819
